Afore	Trước
Agate	Mã não
Apply	Áp dụng
Argue	Tranh cãi
Array	Mảng
Black	Màu đen
Blast	Vụ nổ
Brave	Can đảm
Brown	màu nâu
Claim	Yêu cầu
Climb	Trèo
Corgi	Chó Corgi
Cramp	Chuột rút
Crown	Vương miện
Diary	Nhật ký
Usage	Sử dụng
Divvy	Chia rẽ
Downy	Lông măng
Drain	Làm khô hạn
Usage	Sử dụng
Dummy	Hình nộm
Eagle	chim ưng
Earth	Trái đất
Eject	Đẩy ra
Entry	Lối vào
Equip	Trang bị
Exert	Gắng sức
Usage	Sử dụng
Usage	Sử dụng
Fibre	Chất xơ
First	Đầu tiên
Fluid	Dịch
Frame	Khung
Front	Sự trơ trẽn
Genus	Chi
Usage	Sử dụng
Grape	Giống nho
Green	màu xanh lá
Heavy	Nặng
Hello	xin chào
Horse	Ngựa
House	căn nhà
Hunch	Gù
Hymen	Thần hôn nhân
Jesus	Chúa Giêsu
Judge	Trọng tài
Latch	Chốt cửa
Legal	Hợp pháp
Usage	Sử dụng
Loose	Lỏng lẻo
Loser	Kẻ thua cuộc
Magma	dung nham
Mixed	Trộn
Navel	Lỗ rốn
Nerve	Thần kinh
Pearl	Ngọc trai
Pedal	Bàn đạp
Piece	Mảnh
Piggy	Heo con
Plank	Tấm ván
Usage	Sử dụng
Pools	Hồ bơi
Pride	Tự hào
Quite	Khá
Radio	Đài
Refer	Tham khảo
Rough	Gồ ghề
Round	Tròn
Round	Tròn
Salsa	điệu Salsa
Saute	Áp chảo
Sedge	Cói
Shape	Hình dạng
Shock	Sốc
Short	Ngắn
Shown	Cho xem
Sight	Thị giác
Slimy	Nhầy nhụa
Small	Nhỏ
Smirk	Nhếch mép
Sneak	Quay lén
Solar	Hệ mặt trời
Spark	Tia lửa
Speed	Tốc độ
Spice	Gia vị
Stage	Sân khấu
Steal	Ăn cắp
Store	Cửa hàng
Sweet	Kẹo
Sweet	Kẹo
Tally	Kiếm điểm
Taste	Nếm
Three	Ba
Track	Theo dõi
Ulcer	Vết loét
Usage	Sử dụng
Usage	Sử dụng
Vocal	Thanh nhạc
Voter	Cử tri
Waist	Thắt lưng
Waste	Rác thải
Wreck	Xác tàu
Yeast	Men
Zebra	Ngựa rằn
acted	đã hành động
Acton	Hành động
Actor	Diễn viên nam
actos	hành động
actus	hành động
acute	nhọn
adage	câu ngạn ngữ
adagy	thích thú
adays	một ngày
adapt	thích nghi
adaty	ngoan cố
added	thêm
adder	người bổ sung
addle	ung hư
adead	một người chết
adeep	tuân thủ
Adell	Một thung lũng nhỏ
adept	lão luyện
adfix	tiền tố
adits	quảng cáo
adjag	bổ sung
adman	người quảng cáo
admin	quản trị viên
admit	thừa nhận
admix	quản trị viên
adnex	phụ lục
adopt	nhận nuôi
Adore	Yêu thích
adorn	tô điểm
adoze	uống rượu
adsum	sự hấp dẫn
adult	người lớn
adure	tôn nghiêm
Aello	Chào
aemia	thiếu máu
aface	bề ngoài
afear	nỗi sợ
affix	đóng dấu
afire	Một đám cháy
